tract,med_hh_income,med_hh_income_universe,ami_category,below_med_income,below_60pct_med_income,below_moderate_income,sup_dist,csa,spa,ESRI_OID,Shape__Area,Shape__Length
6037237900,51404,1389,Very Low Income,Yes,No,Yes,District 2,Los Angeles - Manchester Square,SPA 6 - South,3466,10549986.76,13264.7375
6037238000,65313,2408,Low Income,Yes,No,Yes,District 2,Los Angeles - Gramercy Place,SPA 6 - South,3467,17906006.83,21142.16258
6037238100,49847,2112,Very Low Income,Yes,No,Yes,District 2,Los Angeles - Manchester Square,SPA 6 - South,3468,10587598.23,13269.94775
6037238200,38557,2111,Very Low Income,Yes,Yes,Yes,District 2,Los Angeles - Vermont Knolls,SPA 6 - South,3469,11157102.07,13782.31494
6037238310,33317,1407,Extremely Low Income,Yes,Yes,Yes,District 2,Los Angeles - Vermont Vista,SPA 6 - South,3470,4320028.733,9246.137526
6037238320,34628,1073,Extremely Low Income,Yes,Yes,Yes,District 2,Los Angeles - Vermont Vista,SPA 6 - South,3471,5012874.553,9624.82653
6037238400,68212,1829,Low Income,Yes,No,Yes,District 2,Los Angeles - Gramercy Place,SPA 6 - South,3472,14006761.88,15894.45505
6037239201,36687,846,Very Low Income,Yes,Yes,Yes,District 2,Los Angeles - Florence-Firestone,SPA 6 - South,3473,4877789.477,8888.218725
6037239202,42332,1215,Very Low Income,Yes,Yes,Yes,District 2,Los Angeles - Florence-Firestone,SPA 6 - South,3474,13691595.88,15791.43859
6037239310,41121,1012,Very Low Income,Yes,Yes,Yes,District 2,Los Angeles - Florence-Firestone,SPA 6 - South,3475,5699809.414,9677.899669
6037239320,48716,802,Very Low Income,Yes,No,Yes,District 2,Los Angeles - Florence-Firestone,SPA 6 - South,3476,3736299.67,8282.410829
6037239330,40293,705,Very Low Income,Yes,Yes,Yes,District 2,Los Angeles - Florence-Firestone,SPA 6 - South,3477,10580761.64,13361.73846
6037239501,49085,970,Very Low Income,Yes,No,Yes,District 2,Los Angeles - Florence-Firestone,SPA 6 - South,3478,5082167.457,10513.23601
6037239502,42621,911,Very Low Income,Yes,Yes,Yes,District 2,Los Angeles - Florence-Firestone,SPA 6 - South,3479,5530770.928,10756.17062
6037239601,49286,890,Very Low Income,Yes,No,Yes,District 2,Los Angeles - Florence-Firestone,SPA 6 - South,3480,4545280.953,9594.699211
6037239602,37500,910,Very Low Income,Yes,Yes,Yes,District 2,Los Angeles - Florence-Firestone,SPA 6 - South,3481,3845027.535,9271.751531
6037239701,33775,1131,Extremely Low Income,Yes,Yes,Yes,District 2,Los Angeles - Vermont Vista,SPA 6 - South,3482,4508003.287,9360.696452
6037239702,35809,1164,Very Low Income,Yes,Yes,Yes,District 2,Los Angeles - Florence-Firestone,SPA 6 - South,3483,5144301.436,9931.145516
6037239801,51833,940,Very Low Income,Yes,No,Yes,District 2,Los Angeles - Florence-Firestone,SPA 6 - South,3484,3980807.759,9958.624807
6037239802,48674,1313,Very Low Income,Yes,No,Yes,District 2,Los Angeles - Florence-Firestone,SPA 6 - South,3485,6561812.222,11250.57117
6037240010,33144,987,Extremely Low Income,Yes,Yes,Yes,District 2,Los Angeles - Green Meadows,SPA 6 - South,3486,6336452.79,12212.73333
6037240020,50521,1248,Very Low Income,Yes,No,Yes,District 2,Los Angeles - Green Meadows,SPA 6 - South,3487,7790629.781,12722.97234
6037240200,45579,1453,Very Low Income,Yes,Yes,Yes,District 2,Los Angeles - Vermont Vista,SPA 6 - South,3488,8032877.476,11276.47419
6037240301,17096,899,Extremely Low Income,Yes,Yes,Yes,District 2,Los Angeles - Vermont Vista,SPA 6 - South,3489,5093418.442,9216.504838
6037240302,55604,765,Very Low Income,Yes,No,Yes,District 2,Los Angeles - Vermont Vista,SPA 6 - South,3490,3686435.283,8051.170763
6037481201,79423,1248,Low Income,Yes,No,Yes,District 5,City of Temple City,SPA 3 - San Gabriel,3491,11138071.93,16410.95809
6037481203,66863,1920,Low Income,Yes,No,Yes,District 1,Unincorporated - Northeast San Gabriel,SPA 3 - San Gabriel,3492,16788772.27,17183.59304
6037481300,65300,852,Low Income,Yes,No,Yes,District 1,City of Rosemead,SPA 3 - San Gabriel,3493,9501497.764,13761.74887
6037481401,60365,1654,Low Income,Yes,No,Yes,District 1,City of San Gabriel,SPA 3 - San Gabriel,3494,13007009.11,16272.00075
6037481403,44960,851,Very Low Income,Yes,Yes,Yes,District 1,City of San Gabriel,SPA 3 - San Gabriel,3495,8808698.204,17774.02854
6037481404,73846,1138,Low Income,Yes,No,Yes,District 1,City of San Gabriel,SPA 3 - San Gabriel,3496,10939977.32,14306.50108
6037481500,66341,1596,Low Income,Yes,No,Yes,District 1,City of Alhambra,SPA 3 - San Gabriel,3497,23733951.24,23926.87431
6037481603,49482,1147,Very Low Income,Yes,No,Yes,District 1,City of Alhambra,SPA 3 - San Gabriel,3498,7082685.703,11968.86198
6037481604,58438,1406,Very Low Income,Yes,No,Yes,District 1,City of Alhambra,SPA 3 - San Gabriel,3499,6717656.048,11092.42136
6037481605,69500,1046,Low Income,Yes,No,Yes,District 1,City of Alhambra,SPA 3 - San Gabriel,3500,8160540.813,13790.53955
6037481606,59040,1627,Very Low Income,Yes,No,Yes,District 1,City of Alhambra,SPA 3 - San Gabriel,3501,9275185.536,14834.24663
6037481711,50777,1335,Very Low Income,Yes,No,Yes,District 1,City of Monterey Park,SPA 3 - San Gabriel,3502,4817702.83,8918.761703
6037481712,46375,1719,Very Low Income,Yes,Yes,Yes,District 1,City of Monterey Park,SPA 3 - San Gabriel,3503,7783052.329,12224.19413
6037481713,63365,961,Low Income,Yes,No,Yes,District 1,City of Monterey Park,SPA 3 - San Gabriel,3504,5001888.171,10225.28407
6037481714,40761,942,Very Low Income,Yes,Yes,Yes,District 1,City of Monterey Park,SPA 3 - San Gabriel,3505,4879897.647,10193.67424
6037481800,99107,883,Above Moderate Income,No,No,No,District 1,City of Alhambra,SPA 3 - San Gabriel,3506,8928693.496,12643.50219
6037481901,87303,2036,Low Income,No,No,Yes,District 1,City of Alhambra,SPA 3 - San Gabriel,3507,19796459.92,19561.74057
6037481902,66226,1035,Low Income,Yes,No,Yes,District 1,City of Alhambra,SPA 3 - San Gabriel,3508,9464454.206,17643.95994
6037482001,89890,957,Low Income,No,No,Yes,District 1,City of Monterey Park,SPA 3 - San Gabriel,3509,31740089.57,25455.0456
6037482002,75013,2595,Low Income,Yes,No,Yes,District 1,City of Monterey Park,SPA 3 - San Gabriel,3510,26801534.73,22586.98064
6037482101,63083,1475,Low Income,Yes,No,Yes,District 1,City of Monterey Park,SPA 3 - San Gabriel,3511,12324529.6,16501.55914
6037482102,90833,1014,Low Income,No,No,Yes,District 1,City of Monterey Park,SPA 3 - San Gabriel,3512,11793123.28,14776.99714
6037482201,45042,1289,Very Low Income,Yes,Yes,Yes,District 1,City of Monterey Park,SPA 3 - San Gabriel,3513,8362194.5,11964.94597
6037482202,56964,1715,Very Low Income,Yes,No,Yes,District 1,City of Monterey Park,SPA 3 - San Gabriel,3514,6959529.276,10544.48404
6037482301,56250,1336,Very Low Income,Yes,No,Yes,District 1,City of San Gabriel,SPA 3 - San Gabriel,3515,9437947.706,17053.33442
6037482303,52344,1504,Very Low Income,Yes,No,Yes,District 1,City of Rosemead,SPA 3 - San Gabriel,3516,10623862.13,14783.85335
6037482304,41314,815,Very Low Income,Yes,Yes,Yes,District 1,City of Rosemead,SPA 3 - San Gabriel,3517,6688063.469,12815.21103
6037482401,50230,957,Very Low Income,Yes,No,Yes,District 1,City of Rosemead,SPA 3 - San Gabriel,3518,9109162.884,12332.79833
6037482403,39583,952,Very Low Income,Yes,Yes,Yes,District 1,City of Rosemead,SPA 3 - San Gabriel,3519,10286122.48,13086.52454
6037482404,72688,1231,Low Income,Yes,No,Yes,District 1,City of Rosemead,SPA 3 - San Gabriel,3520,10284266.71,15005.49171
6037482502,55250,879,Very Low Income,Yes,No,Yes,District 1,City of Rosemead,SPA 3 - San Gabriel,3521,6871732.942,10475.70115
