Ticket number,Issue Date,RP State Plate,Make,Location,Violation code,Violation Description,Fine amount,Latitude,Longitude,year,csa,ami_category
4537109883,10/07/2021,CA,FORD,213 HOBART BLVD S,80.56E1,WHITE ZONE,58.0,34.07515512085344,-118.30551122433643,2021,Wilshire Center,Very Low Income
4529745625,05/16/2021,CA,TOYT,1746 ORANGE DR N,80.58L,PREFERENTIAL PARKING,68.0,34.1027223332166,-118.34174395827473,2021,Hollywood,Extremely Low Income
4530767684,05/25/2021,CA,TOYT,450 COCHRAN AV,5204A-,DISPLAY OF TABS,25.0,34.06637799989325,-118.34722098970062,2021,Miracle Mile,Low Income
4527014424,03/11/2021,CA,SUBA,11365 CULVER BLVD,80.69BS,NO PARK/STREET CLEAN,73.0,34.00164662517186,-118.41270854509115,2021,Del Rey,Low Income
4535370302,09/02/2021,CA,CHEV,1801 WESTWOOD BL,88.13B+,METER EXP.,63.0,34.049593999041846,-118.43666200398656,2021,West Los Angeles,Above Moderate Income
4531865026,06/29/2021,CA,HOND,11311 MISSISSIPPI AV,80.58L,PREFERENTIAL PARKING,68.0,34.039383186454835,-118.44274219197567,2021,West Los Angeles,Above Moderate Income
4530226492,05/10/2021,CA,NISS,11700 GORHAM AV,88.13B+,METER EXP.,63.0,34.054004998521805,-118.4660399994336,2021,Brentwood,Above Moderate Income
4530876560,06/03/2021,CA,JEEP,445 LANDFAIR AVE,80.56E4+,RED ZONE,93.0,34.069527321743415,-118.45238401982665,2021,Westwood,Extremely Low Income
4524324976,01/13/2021,CA,CHRY,6709 SELMA AV W,80.56E4+,RED ZONE,93.0,34.09970133336812,-118.33653166683712,2021,Hollywood,Very Low Income
4527531923,03/24/2021,MA,JEEP,1210 BARRY AV,80.56E1,WHITE ZONE,58.0,34.04985489850553,-118.45986485053953,2021,West Los Angeles,Low Income
4536265801,09/20/2021,CA,TOYT,1001 TOWNE AVE S,88.13B+,METER EXP.,63.0,34.03419499984313,-118.24961600010697,2021,Wholesale District,Very Low Income
4528297690,04/07/2021,CA,HOND,10600 LOUISE AVE,5204A-,DISPLAY OF TABS,25.0,34.262405995033646,-118.51102599870202,2021,Granada Hills,Above Moderate Income
4532010836,06/24/2021,CA,HOND,13801 MENLO AVE,80.69BS,NO PARK/STREET CLEAN,73.0,33.90567433199902,-118.2899008909979,2021,Harbor Gateway,Low Income
4530189952,05/11/2021,CA,HOND,640 BROADWAY  S,80.56E1,WHITE ZONE,58.0,34.04606228715097,-118.25257690395154,2021,Downtown,Extremely Low Income
4537701173,10/20/2021,CA,MAZD,5747 6TH AVE,80.69BS,NO PARK/STREET CLEAN,73.0,33.99004540458161,-118.32362675393894,2021,Hyde Park,Low Income
4529120665,04/27/2021,CA,TOYT,830 LAS PALMAS AVE,80.69BS,NO PARK/STREET CLEAN,73.0,34.08583830578488,-118.33625506208294,2021,Melrose,Low Income
4525855235,03/01/2021,TX,MAZD,15010 BURBANK BLVD,80.69AA+,NO STOP/STAND,93.0,34.1721113541807,-118.45986155547273,2021,Sherman Oaks,Low Income
4539406701,11/30/2021,CA,OTHR,851 MCGARRY ST,80.69AP+,NO STOP/STANDING,93.0,34.02959467478384,-118.23993647465949,2021,Wholesale District,Very Low Income
4540341584,12/23/2021,CA,FORD,700 MERCHANT ST S,80.56E2,YELLOW ZONE,58.0,34.0372120006167,-118.24178699964692,2021,Wholesale District,Extremely Low Income
4537447946,10/19/2021,CA,NISS,1722 SUNSET BL,88.13B+,METER EXP.,63.0,34.07731828703118,-118.25862840704633,2021,Echo Park,Low Income
